2011,P/E,Sales Surprise Pct,P/B,D/E,ROE,FCF,PEG,Market cap,EBITDA,beta,Price 2011,Price 2021
TiCKER,,,,,,,,,,,,
ATVI,14,-35.9350013733,1.3436000347,0,9.9604997635,880,0.8219000101,14096.7900390625,1718,0.602699995,12.3199996948,66.5299987793
ADBE,15.7060003281,6.1799998283,2.3996999264,26.0256996155,16.3479995728,1333.0198974609,1.3248000145,13877.6298828125,1442.4090576172,1.5437999964,28.2700004578,567.0599975586
ADP,20.6149997711,0.2300000042,4.269299984,0.412499994,21.3400001526,1704.6099853516,1.8300000429,26394.580078125,2203.6000976563,0.711499989,54.0099983215,246.5800018311
AKAM,27.5900001526,3.9719998837,2.6861999035,0,10.0500001907,269.8429870605,1.8145999908,5792.033203125,476.2520141602,0.831099987,32.2799987793,117.0400009155
AZN,6.6989998817,0.6660000086,2.5494000912,31.2707996368,40.0149993896,7084,-14.7356996536,59823.11328125,14797.400390625,#LinkError,#LinkError,58.25
ASRA,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError
GOOGL,20.6490001678,-3.4619998932,3.5978999138,5.1353998184,19.1509990692,11127,0.8758999705,209199.265625,14093,1.1339999437,16.1474990845,144.8520050049
GOOG,#N/A,#N/A,#N/A,5.1353998184,#N/A,11127,#N/A,#N/A,#N/A,#N/A,#N/A,144.6795043945
ALTR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,77.3199996948
AMZN,129.1790008545,-4.5069999695,10.1479997635,3.2874000072,8.0560998917,2092,2.8849000931,78717.921875,1919,1.005499959,8.654999733,166.7169952393
AMGN,12.2539997101,1.57099998,2.9577000141,112.6071014404,20.5270004272,4552,1.2512999773,56282.890625,6470.66015625,0.4447999895,64.2099990845,224.9700012207
ADI,13.1540002823,-1.5169999599,2.8229000568,23.3537006378,23.1970005035,777.5300292969,1.5144000053,10713.8916015625,1167.7679443359,1.0829000473,35.7799987793,175.7700042725
AAPL,11.5349998474,19.216999054,4.1798000336,0,44.3470001221,40943,0.5174000263,376410.46875,45482,1.2209000587,14.4643001556,177.5700073242
AMAT,8.2384996414,-0.2349999994,1.6035000086,22.125,20.6520004272,2217,1.0346000195,14110.7470703125,2438,1.0937999487,10.7100000381,157.3600006104
ADSK,23.3309993744,0.7279999852,3.7976999283,0,17.5170001984,475.200012207,1.0397000313,6940.2631835938,477.0400085449,2.0913999081,30.3299999237,281.1900024414
AVGO,11.142999649,0.3790000081,3.5320000648,0,35.7820014954,614,1.0951999426,7085.2739257813,844,0.7919999957,28.8600006104,665.4099731445
BIDU,39.3479995728,8.111000061,16.0699996948,14.2346000671,52.5550003052,994.9699707031,0.5716999769,40664.3359375,1340.3900146484,#LinkError,#LinkError,148.7899932861
BBBY,15.5830001831,-0.6370000243,3.6266000271,0,23.5060005188,907.299987793,0.8698999882,14182.0126953125,1659.2459716797,1.1153000593,57.9700012207,14.5799999237
BIIB,18.8439998627,2.5969998837,4.1595001221,16.5055007935,23.4769992828,1521.9299316406,1.5061000586,26733.017578125,2248.5100097656,0.8475999832,110.0500030518,239.9199981689
BMC,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.5900999904,32.7799987793,#LinkError
BKNG,20.9449996948,2.3440001011,9.0447998047,19.3311004639,52.6899986267,1294.9790039063,0.6746000051,23284.0078125,1560.5810546875,1.1354000568,467.7099914551,2399.2299804688
BRCM,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.1835000515,29.3600006104,#LinkError
CHRW,26.531999588,-1.8480000496,9.1565999985,0,34.3050003052,393.7799987793,1.5688999891,11431.7783203125,725.2199707031,0.7627000213,69.7799987793,107.6299972534
CTRX,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.6187000275,28.2399997711,#LinkError
CELG,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.5159000158,33.7999992371,#LinkError
CERN,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.8195000291,30.625,#LinkError
