2012,Price 2012,price max,y
TiCKER,,,
ATVI,10.6199998856,81,0
ADBE,37.6800003052,534,1
ADP,56.9300003052,269.9,0
AKAM,40.9099998474,120.51,1
AZN,#LinkError,71.7,0
ASRA,#LinkError,,0
GOOGL,17.6844997406,143,0
GOOG,#N/A,143,0
ALTR,#N/A,78.38,0
AMZN,12.5434999466,162,1
AMGN,86.1999969482,296.67,0
ADI,42.0600013733,187.69,0
AAPL,19.0062007904,172,0
AMAT,11.4399995804,167,1
ADSK,35.3499984741,285.38,0
AVGO,31.6509990692,619,1
BIDU,#LinkError,171.87,0
BBBY,55.9099998474,30.06,0
BIIB,146.3699951172,311.88,0
BMC,39.6199989319,,0
BKNG,620.3900146484,"2,715.66",0
BRCM,33.2099990845,,0
CHRW,63.2200012207,121.23,0
CTRX,47.0999984741,,0
CELG,39.2350006104,,0
CERN,38.7550010681,,0
CHKP,47.6399993896,149.62,0
CSCO,19.6490001678,64.29,0
CTXS,65.6200027466,,0
CTSH,36.9410018921,93.47,0
CMCSA,18.6800003052,59.4,0
CEG,#N/A,97.16,0
COST,98.7300033569,590.39,0
DELL,#N/A,60.53,0
XRAY,39.6100006104,68.47,0
DTV,50.1599998474,43.58,0
DISCK,29.25,37.33,0
DLTR,40.5600013733,177.19,0
EBAY,50.9980010986,67.71,0
EQIX,206.1999969482,853.42,0
EXPD,39.5499992371,,0
EXPE,61.4399986267,137.8,0
ESRX,54,217.72,0
FFIV,97.1500015259,249,0
FAST,23.3250007629,64.75,0
FISV,19.7574996948,125.09,0
FOSL,93.0999984741,138.07,0
FOXA,#N/A,42.38,0
GRMN,40.75,167.52,0
GILD,36.7249984741,119.80,0
HSIC,40.2099990845,91.36,0
INTC,20.6200008392,69.25,0
INTU,59.4749984741,692.3,1
ISRG,54.4855995178,364.95,0
KLAC,47.7599983215,445,0
LBTYA,62.9599990845,54.36,0
LSXMA,#N/A,55.32,0
LIFE,#LinkError,362.18,0
LLTC,34.2999992371,10.12,0
MAT,36.6199989319,45.79,0
MXIM,29.3999996185,168.88,0
META,26.6200008392,124.65,0
MCHP,16.2950000763,77.11,0
MU,6.3400001526,856,1
MSFT,26.7099990845,334.69,1
MDLZ,25.452999115,68.10,0
MNST,17.6133003235,102.17,0
VTRS,27.4500007629,18.74,0
NTAP,33.5499992371,147.38,0
GEN,18.8199996948,479.50,1
NUAN,22.3199996948,334.69,1
NVDA,3.0650000572,329.85,1
NXPI,26.3199996948,227.12,0
ORLY,89.4199981689,843.10,0
ORCL,33.3199996948,98.25,0
PCAR,45.2099990845,103.36,0
PAYX,31.1000003815,138.87,0
PRGO,104.0299987793,198.98,0
QCOM,61.8600006104,188.69,0
QRTEA,19.6800003052,27.93,0
GOLD,35.0099983215,55.63,0
REGN,171.0700073242,755.45,0
ROST,27.0450000763,130.50,0
SNDK,43.5,,0
SBAC,70.9800033569,374.28,0
STX,30.4200000763,112.98,0
SGEN,23.1700000763,196.92,0
SHLDQ,41.3600006104,,0
SIAL,73.5800018311,11.4,0
SIRI,2.8900001049,63.25,1
SPLS,11.3999996185,,0
SBUX,26.8150005341,125.97,0
SRCL,93.2799987793,143.43,0
TXN,30.8899993896,195.24,0
ULTA,98.2600021362,472.52,0
UAL,23.3799991608,96.7,0
VRSK,50.9700012207,230.03,0
VRTX,41.9000015259,317.6,0
PARA,38.0499992371,94.94,0
VIAB,52.7400016785,,0
VMED,36.75,40.01,0
VOD,#LinkError,72.2,0
WDC,42.4900016785,34.79,0
WFM,45.5800018311,,0
XLNX,35.861000061,,0
VZ,43.2700004578,61.53,0
AMD,2.4000000954,154.81,1
